Title (w/ year),Country,Language,Release_Date
Fantômas se déchaîne (1965) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 8 December 1965 (France)
    
See more »
    
"
Yparhei kai filotimo (1965) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 6 December 1965 (Greece)
    
See more »
    
"
That Darn Cat! (1965) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 2 December 1965 (USA)
    
See more »
    
"
The 10th Victim (1965) ,"
Country:
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: 20 December 1965 (USA)
    
See more »
    
"
I Knew Her Well (1965) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
","
Release Date: 2 December 1965 (Italy)
    
See more »
    
"
The Early Bird (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 24 December 1965 (Ireland)
    
See more »
    
"
Bloody Pit of Horror (1965) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 16 May 1967 (USA)
    
See more »
    
"
Gamera: The Giant Monster (1965) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 27 November 1965 (Japan)
    
See more »
    
"
Carry On Cowboy (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 November 1965 (UK)
    
See more »
    
"
Sands of the Kalahari (1965) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 2 December 1965 (UK)
    
See more »
    
"
Harum Scarum (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 December 1965 (USA)
    
See more »
    
"
The Heroes of Telemark (1965) ,"
Country:
UK
","
Language:
English
|
German
|
Norwegian
","
Release Date: 26 November 1965 (UK)
    
See more »
    
"
Viva Maria! (1965) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Spanish
|
German
","
Release Date: 18 December 1965 (USA)
    
See more »
    
"
The War Lord (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 November 1965 (USA)
    
See more »
    
"
Dr. Goldfoot and the Bikini Machine (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 November 1965 (USA)
    
See more »
    
"
Up to His Ears (1965) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 4 December 1965 (France)
    
See more »
    
"
A Study in Terror (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 10 August 1966 (USA)
    
See more »
    
"
The Troops in New York (1965) ,"
Country:
France
|
Italy
","
Language:
French
|
English
","
Release Date: 29 October 1965 (France)
    
See more »
    
"
"Die, Monster, Die! (1965) ","
Country:
UK
","
Language:
English
","
Release Date: 27 October 1965 (USA)
    
See more »
    
"
King Rat (1965) ,"
Country:
USA
","
Language:
English
|
Malay
|
Japanese
","
Release Date: 27 October 1965 (USA)
    
See more »
    
"
Village of the Giants (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 October 1965 (USA)
    
See more »
    
"
Juliet of the Spirits (1965) ,"
Country:
Italy
|
France
","
Language:
Italian
|
French
|
Spanish
|
English
","
Release Date: 3 November 1965 (USA)
    
See more »
    
"
Mia trelli... trelli oikogeneia (1965) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 15 October 1965 (Greece)
    
See more »
    
"
Winnetou: The Last Shot (1965) ,"
Country:
West Germany
|
Italy
|
Yugoslavia
|
France
","
Language:
German
","
Release Date: 1968 (USA)
    
See more »
    
"
The Cincinnati Kid (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 October 1965 (Japan)
    
See more »
    
"
Color Me Blood Red (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 October 1965 (USA)
    
See more »
    
"
The Loved One (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 October 1965 (USA)
    
See more »
    
"
The Bedford Incident (1965) ,"
Country:
UK
|
USA
","
Language:
English
|
Russian
","
Release Date: 12 November 1965 (Japan)
    
See more »
    
"
The Nanny (1965) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 20 January 1966 (Italy)
    
See more »
    
"
Bunny Lake Is Missing (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 27 February 1966 (UK)
    
See more »
    
"
Compartiment tueurs (1965) ,"
Country:
France
","
Language:
French
","
Release Date: 17 November 1965 (France)
    
See more »
    
"
Frankenstein Meets the Spacemonster (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 September 1965 (USA)
    
See more »
    
"
Sword of the Beast (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 18 September 1965 (Japan)
    
See more »
    
"
Il compagno Don Camillo (1965) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
French
|
Italian
|
Russian
","
Release Date: 18 September 1965 (Italy)
    
See more »
    
"
The Agony and the Ecstasy (1965) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 16 September 1965 (West Germany)
    
See more »
    
"
Planet of the Vampires (1965) ,"
Country:
Italy
|
Spain
|
USA
","
Language:
Italian
|
English
","
Release Date: 27 October 1965 (USA)
    
See more »
    
"
Ten Little Indians (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 February 1966 (UK)
    
See more »
    
"
Sandra (1965) ,"
Country:
Italy
|
France
","
Language:
Italian
|
Hebrew
|
French
|
English
","
Release Date: 16 January 1966 (USA)
    
See more »
    
"
Mickey One (1965) ,"
Country:
USA
","
Language:
English
|
Polish
","
Release Date: 27 September 1965 (USA)
    
See more »
    
"
Pierrot le Fou (1965) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Italian
","
Release Date: 8 January 1969 (USA)
    
See more »
    
"
Etsuraku (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 8 December 1965 (USA)
    
See more »
    
"
Loves of a Blonde (1965) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 26 October 1966 (USA)
    
See more »
    
"
The Oil Prince (1965) ,"
Country:
West Germany
|
Yugoslavia
","
Language:
German
","
Release Date: January 1966 (USA)
    
See more »
    
"
The Skull (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 25 August 1965 (USA)
    
See more »
    
"
Morituri (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: September 1965 (Austria)
    
See more »
    
"
Nightmare Castle (1965) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 5 July 1966 (USA)
    
See more »
    
"
Motorpsycho! (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 August 1965 (USA)
    
See more »
    
"
Frankenstein Conquers the World (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 8 July 1966 (USA)
    
See more »
    
"
"Faster, Pussycat! Kill! Kill! (1965) ","
Country:
USA
","
Language:
English
","
Release Date: 6 August 1965 (USA)
    
See more »
    
"
The Face of Fu Manchu (1965) ,"
Country:
UK
|
West Germany
","
Language:
English
|
German
","
Release Date: 24 October 1965 (USA)
    
See more »
    
"
Voyage to the Prehistoric Planet (1965) ,"
Country:
Soviet Union
|
USA
","
Language:
English
","
Release Date: 1 August 1965 (USA)
    
See more »
    
"
"War and Peace, Part I: Andrei Bolkonsky (1965) ","
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 14 March 1966 (Soviet Union)
    
See more »
    
"
Fists in the Pocket (1965) ,"
Country:
Italy
","
Language:
Latin
|
Italian
","
Release Date: 27 May 1968 (USA)
    
See more »
    
"
Monster a-Go Go (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1965 (USA)
    
See more »
    
"
Ship of Fools (1965) ,"
Country:
USA
","
Language:
English
|
German
|
Spanish
","
Release Date: October 1965 (Austria)
    
See more »
    
"
Help! (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 25 August 1965 (USA)
    
See more »
    
"
Waqt (1965) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 July 1965 (India)
    
See more »
    
"
Operatsiya 'Y' i drugie priklyucheniya Shurika (1965) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 23 July 1965 (Soviet Union)
    
See more »
    
"
Darling (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 3 August 1965 (USA)
    
See more »
    
"
How to Stuff a Wild Bikini (1965) ,"
Country:
USA
","
Language:
English
|
Italian
|
German
|
French
","
Release Date: 14 July 1965 (USA)
    
See more »
    
"
Samurai Spy (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 10 July 1965 (Japan)
    
See more »
    
"
The Great Race (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 December 1965 (USA)
    
See more »
    
"
The Family Jewels (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 October 1965 (Sweden)
    
See more »
    
"
Tickle Me (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 June 1965 (USA)
    
See more »
    
"
I de gyni na fovitai ton andra (1965) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 28 June 1965 (Greece)
    
See more »
    
"
Dr. Who and the Daleks (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: July 1966 (USA)
    
See more »
    
"
The Sons of Katie Elder (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 July 1965 (Canada)
    
See more »
    
"
Cat Ballou (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 June 1965 (USA)
    
See more »
    
"
Von Ryan's Express (1965) ,"
Country:
USA
","
Language:
English
|
German
|
Italian
","
Release Date: 23 June 1965 (USA)
    
See more »
    
"
The Sandpiper (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 June 1965 (USA)
    
See more »
    
"
The Hallelujah Trail (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 June 1965 (USA)
    
See more »
    
"
What's New Pussycat (1965) ,"
Country:
France
|
USA
","
Language:
English
|
French
","
Release Date: 22 June 1965 (USA)
    
See more »
    
"
The Naked Prey (1965) ,"
Country:
South Africa
|
USA
","
Language:
English
|
Afrikaans
","
Release Date: 1966 (Norway)
    
See more »
    
"
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes (1965) ,"
Country:
UK
","
Language:
English
|
French
|
German
|
Italian
|
Japanese
","
Release Date: 16 June 1965 (USA)
    
See more »
    
"
Shenandoah (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 June 1965 (Japan)
    
See more »
    
"
Orgy of the Dead (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 June 1965 (USA)
    
See more »
    
"
Curse of the Fly (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: May 1965 (USA)
    
See more »
    
"
City in the Sea (1965) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 26 May 1965 (USA)
    
See more »
    
"
The Spy Who Came in from the Cold (1965) ,"
Country:
UK
","
Language:
Dutch
|
English
","
Release Date: 16 December 1965 (USA)
    
See more »
    
"
Mirage (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 September 1965 (UK)
    
See more »
    
"
A High Wind in Jamaica (1965) ,"
Country:
UK
","
Language:
English
|
Spanish
","
Release Date: 4 June 1965 (West Germany)
    
See more »
    
"
Mudhoney (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 1965 (France)
    
See more »
    
"
The Hill (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 27 June 1965 (UK)
    
See more »
    
"
The Shop on Main Street (1965) ,"
Country:
Czechoslovakia
","
Language:
Slovak
|
Yiddish
|
German
|
Latin
","
Release Date: 24 January 1966 (USA)
    
See more »
    
"
The Collector (1965) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 14 August 1965 (Japan)
    
See more »
    
"
Repulsion (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 3 October 1965 (USA)
    
See more »
    
"
It Happened Here (1965) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 8 August 1966 (USA)
    
See more »
    
"
I Saw What You Did (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 May 1965 (USA)
    
See more »
    
"
The Knack... and How to Get It (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 July 1965 (France)
    
See more »
    
"
A Pistol for Ringo (1965) ,"
Country:
Italy
|
Spain
","
Language:
Italian
|
English
","
Release Date: 12 May 1965 (Italy)
    
See more »
    
"
Mahapurush (1965) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 7 May 1965 (India)
    
See more »
    
"
Kapurush (1965) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 7 May 1965 (India)
    
See more »
    
"
Alphaville (1965) ,"
Country:
France
|
Italy
","
Language:
French
|
English
","
Release Date: 5 May 1965 (France)
    
See more »
    
"
Merveilleuse Angélique (1965) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: 7 July 1965 (France)
    
See more »
    
"
The Long Hair of Death (1965) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 30 April 1965 (Italy)
    
See more »
    
"
Once a Thief (1965) ,"
Country:
France
|
USA
","
Language:
English
|
Italian
|
Cantonese
","
Release Date: 8 September 1965 (USA)
    
See more »
    
"
She (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 18 April 1965 (UK)
    
See more »
    
"
A tizedes meg a többiek (1965) ,"
Country:
Hungary
","
Language:
Hungarian
|
German
|
Russian
","
Release Date: 15 April 1965 (Hungary)
    
See more »
    
"
Genghis Khan (1965) ,"
Country:
UK
|
West Germany
|
Yugoslavia
|
USA
","
Language:
English
","
Release Date: 23 June 1965 (USA)
    
See more »
    
"
Crack in the World (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 April 1965 (USA)
    
See more »
    
"
Beach Blanket Bingo (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 April 1965 (USA)
    
See more »
    
"
Intimate Lighting (1965) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 24 November 1969 (USA)
    
See more »
    
"
In Harm's Way (1965) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 6 April 1965 (USA)
    
See more »
    
"
Zatoichi's Revenge (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 3 April 1965 (Japan)
    
See more »
    
"
Red Beard (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 19 December 1968 (USA)
    
See more »
    
"
Operation Crossbow (1965) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 1 April 1965 (USA)
    
See more »
    
"
Girl Happy (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 April 1965 (USA)
    
See more »
    
"
The Satan Bug (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 March 1965 (West Germany)
    
See more »
    
"
Frosty (1965) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: September 1966 (USA)
    
See more »
    
"
The Sucker (1965) ,"
Country:
France
|
Italy
|
Spain
","
Language:
French
|
Italian
|
German
","
Release Date: 24 March 1965 (France)
    
See more »
    
"
Shadows of Forgotten Ancestors (1965) ,"
Country:
Soviet Union
","
Language:
Ukrainian
","
Release Date: 18 October 1965 (Soviet Union)
    
See more »
    
"
Die! Die! My Darling! (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 21 March 1965 (UK)
    
See more »
    
"
The Ipcress File (1965) ,"
Country:
UK
","
Language:
English
|
Albanian
","
Release Date: 2 August 1965 (USA)
    
See more »
    
"
Forest of the Hanged (1965) ,"
Country:
Romania
","
Language:
Romanian
","
Release Date: 16 March 1965 (Romania)
    
See more »
    
"
Major Dundee (1965) ,"
Country:
USA
","
Language:
English
|
French
|
Spanish
","
Release Date: 15 March 1965 (Denmark)
    
See more »
    
"
Man Is Not a Bird (1965) ,"
Country:
Yugoslavia
","
Language:
Serbo-Croatian
","
Release Date: 6 March 1965 (Yugoslavia)
    
See more »
    
"
The Sound of Music (1965) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 1 April 1965 (USA)
    
See more »
    
"
Story of a Prostitute (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 28 February 1965 (Japan)
    
See more »
    
"
Young Cassidy (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 April 1965 (Argentina)
    
See more »
    
"
